# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 222 10/21/2009 SJ Web Edition
# File: D:\Projekte\cycloneIII_3c25_niosII_video.csv
# Generated on: Thu Feb 11 10:14:05 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
top_HC_TD_RESET,Unknown,PIN_H1,1,B1_N0,,
top_HC_AUD_ADCLRCK,Unknown,PIN_M1,2,B2_N0,,
top_HC_AUD_ADCDAT,Unknown,PIN_A9,8,B8_N0,,
top_HC_AUD_DACLRCK,Unknown,PIN_R2,2,B2_N0,,
top_HC_AUD_DACDAT,Unknown,PIN_R1,2,B2_N0,,
top_HC_AUD_BCLK,Unknown,PIN_E17,6,B6_N0,,
top_HC_AUD_XCK,Unknown,PIN_A1,8,B8_N0,,
top_HC_UART_TXD,Unknown,PIN_H17,6,B6_N0,,
top_HC_UART_RXD,Unknown,PIN_E18,6,B6_N0,,
top_HC_SD_DAT,Unknown,PIN_M3,2,B2_N0,,
top_HC_SD_DAT3,Unknown,PIN_N8,3,B3_N0,,
top_HC_SD_CMD,Unknown,PIN_L6,2,B2_N0,,
top_HC_SD_CLK,Unknown,PIN_M2,2,B2_N0,,
top_HC_I2C_SDAT,Unknown,PIN_E1,1,B1_N0,,
top_HC_I2C_SCLK,Unknown,PIN_F3,1,B1_N0,,
top_HC_ID_I2CSCL,Unknown,PIN_H6,1,B1_N0,,
top_HC_ID_I2CDAT,Unknown,PIN_D3,1,B1_N0,,
top_HC_PS2_DAT,Unknown,PIN_T1,2,B2_N0,,
top_HC_PS2_CLK,Unknown,PIN_M5,2,B2_N0,,
top_HC_TX_D[0],Unknown,PIN_M18,5,B5_N0,,
top_HC_TX_D[1],Unknown,PIN_L14,5,B5_N0,,
top_HC_TX_D[2],Unknown,PIN_L15,5,B5_N0,,
top_HC_TX_D[3],Unknown,PIN_P17,5,B5_N0,,
top_HC_RX_D[0],Unknown,PIN_P2,2,B2_N0,,
top_HC_RX_D[1],Unknown,PIN_P1,2,B2_N0,,
top_HC_RX_D[2],Unknown,PIN_T3,2,B2_N0,,
top_HC_RX_D[3],Unknown,PIN_R3,2,B2_N0,,
top_HC_TX_CLK,Unknown,PIN_N18,5,B5_N0,,
top_HC_RX_CLK,Unknown,PIN_F17,6,B6_N0,,
top_HC_TX_EN,Unknown,PIN_L17,5,B5_N0,,
top_HC_RX_DV,Unknown,PIN_G18,6,B6_N0,,
top_HC_RX_CRS,Unknown,PIN_L3,2,B2_N0,,
top_HC_RX_ERR,Unknown,PIN_L4,2,B2_N0,,
top_HC_RX_COL,Unknown,PIN_G17,6,B6_N0,,
top_HC_MDIO,Unknown,PIN_N7,3,B3_N0,,
top_HC_MDC,Unknown,PIN_P18,5,B5_N0,,
top_HC_ETH_RESET_N,Unknown,PIN_H18,6,B6_N0,,
top_HC_LCD_DATA[0],Unknown,PIN_R4,2,B2_N0,,
top_HC_LCD_DATA[1],Unknown,PIN_T17,5,B5_N0,,
top_HC_LCD_DATA[2],Unknown,PIN_T18,5,B5_N0,,
top_HC_LCD_DATA[3],Unknown,PIN_L16,5,B5_N0,,
